Signal Legend:

Key        Signal Name

0        = config
1        = scl
2        = sda
3        = I2C_config:I2C_config_inst|I2C:I2C_inst|base_addr_r[7..0]
4        = I2C_config:I2C_config_inst|I2C:I2C_inst|base_data_r[7..0]
5        = I2C_config:I2C_config_inst|I2C:I2C_inst|default_addr_r[7..0]
6        = I2C_config:I2C_config_inst|index[4..0]
7        = I2C_config:I2C_config_inst|base_addr[7..0]
8        = I2C_config:I2C_config_inst|base_data[7..0]

Data Table:

Signals-> 0 1 2 3   4   5   6 7   8   

sample

-16       1 1 0 01h 00h 7Ah 2 02h 18h 
-15       1 1 0 01h 00h 7Ah 2 02h 18h 
-14       1 1 0 01h 00h 7Ah 2 02h 18h 
-13       1 1 0 01h 00h 7Ah 2 02h 18h 
-12       1 1 0 01h 00h 7Ah 2 02h 18h 
-11       1 1 0 01h 00h 7Ah 2 02h 18h 
-10       1 1 0 01h 00h 7Ah 2 02h 18h 
-9        1 1 0 01h 00h 7Ah 2 02h 18h 
-8        1 1 0 01h 00h 7Ah 2 02h 18h 
-7        1 1 0 01h 00h 7Ah 2 02h 18h 
-6        1 1 0 01h 00h 7Ah 2 02h 18h 
-5        1 1 0 01h 00h 7Ah 2 02h 18h 
-4        1 1 0 01h 00h 7Ah 2 02h 18h 
-3        1 1 0 01h 00h 7Ah 2 02h 18h 
-2        1 1 0 01h 00h 7Ah 2 02h 18h 
-1        1 1 0 01h 00h 7Ah 2 02h 18h 
0         1 1 0 01h 00h 7Ah 2 02h 18h 
1         1 1 0 01h 00h 7Ah 2 02h 18h 
2         1 1 0 01h 00h 7Ah 2 02h 18h 
3         1 1 0 01h 00h 7Ah 2 02h 18h 
4         1 1 0 01h 00h 7Ah 2 02h 18h 
5         1 1 0 01h 00h 7Ah 2 02h 18h 
6         1 1 0 01h 00h 7Ah 2 02h 18h 
7         1 1 0 01h 00h 7Ah 2 02h 18h 
8         1 1 0 01h 00h 7Ah 2 02h 18h 
9         1 1 0 01h 00h 7Ah 2 02h 18h 
10        1 1 0 01h 00h 7Ah 2 02h 18h 
11        1 1 0 01h 00h 7Ah 2 02h 18h 
12        1 1 0 01h 00h 7Ah 2 02h 18h 
13        1 1 0 01h 00h 7Ah 2 02h 18h 
14        1 1 0 01h 00h 7Ah 2 02h 18h 
15        1 1 0 01h 00h 7Ah 2 02h 18h 
16        1 1 0 01h 00h 7Ah 2 02h 18h 
17        1 1 0 01h 00h 7Ah 2 02h 18h 
18        1 1 0 01h 00h 7Ah 2 02h 18h 
19        1 1 0 01h 00h 7Ah 2 02h 18h 
20        1 1 0 01h 00h 7Ah 2 02h 18h 
21        1 1 0 01h 00h 7Ah 2 02h 18h 
22        1 1 0 01h 00h 7Ah 2 02h 18h 
23        1 1 0 01h 00h 7Ah 2 02h 18h 
24        1 1 0 01h 00h 7Ah 2 02h 18h 
25        1 1 0 01h 00h 7Ah 2 02h 18h 
26        1 1 0 01h 00h 7Ah 2 02h 18h 
27        1 1 0 01h 00h 7Ah 2 02h 18h 
28        1 1 0 01h 00h 7Ah 2 02h 18h 
29        1 1 0 01h 00h 7Ah 2 02h 18h 
30        1 1 0 01h 00h 7Ah 2 02h 18h 
31        1 1 0 01h 00h 7Ah 2 02h 18h 
32        1 1 0 01h 00h 7Ah 2 02h 18h 
33        1 1 0 01h 00h 7Ah 2 02h 18h 
34        1 1 0 01h 00h 7Ah 2 02h 18h 
35        1 1 0 01h 00h 7Ah 2 02h 18h 
36        1 1 0 01h 00h 7Ah 2 02h 18h 
37        1 1 0 01h 00h 7Ah 2 02h 18h 
38        1 1 0 01h 00h 7Ah 2 02h 18h 
39        1 1 0 01h 00h 7Ah 2 02h 18h 
40        1 1 0 01h 00h 7Ah 2 02h 18h 
41        1 1 0 01h 00h 7Ah 2 02h 18h 
42        1 1 0 01h 00h 7Ah 2 02h 18h 
43        1 1 0 01h 00h 7Ah 2 02h 18h 
44        1 1 0 01h 00h 7Ah 2 02h 18h 
45        1 1 0 01h 00h 7Ah 2 02h 18h 
46        1 1 0 01h 00h 7Ah 2 02h 18h 
47        1 1 0 01h 00h 7Ah 2 02h 18h 
48        1 1 0 01h 00h 7Ah 2 02h 18h 
49        1 1 0 01h 00h 7Ah 2 02h 18h 
50        1 1 0 01h 00h 7Ah 2 02h 18h 
51        1 1 0 01h 00h 7Ah 2 02h 18h 
52        1 1 0 01h 00h 7Ah 2 02h 18h 
53        1 1 0 01h 00h 7Ah 2 02h 18h 
54        1 1 0 01h 00h 7Ah 2 02h 18h 
55        1 1 0 01h 00h 7Ah 2 02h 18h 
56        1 1 0 01h 00h 7Ah 2 02h 18h 
57        1 1 0 01h 00h 7Ah 2 02h 18h 
58        1 1 0 01h 00h 7Ah 2 02h 18h 
59        1 1 0 01h 00h 7Ah 2 02h 18h 
60        1 1 0 01h 00h 7Ah 2 02h 18h 
61        1 1 0 01h 00h 7Ah 2 02h 18h 
62        1 1 0 01h 00h 7Ah 2 02h 18h 
63        1 1 0 01h 00h 7Ah 2 02h 18h 
64        1 1 0 01h 00h 7Ah 2 02h 18h 
65        1 1 0 01h 00h 7Ah 2 02h 18h 
66        1 1 0 01h 00h 7Ah 2 02h 18h 
67        1 1 0 01h 00h 7Ah 2 02h 18h 
68        1 1 0 01h 00h 7Ah 2 02h 18h 
69        1 1 0 01h 00h 7Ah 2 02h 18h 
70        1 1 0 01h 00h 7Ah 2 02h 18h 
71        1 1 0 01h 00h 7Ah 2 02h 18h 
72        1 1 0 01h 00h 7Ah 2 02h 18h 
73        1 1 0 01h 00h 7Ah 2 02h 18h 
74        1 1 0 01h 00h 7Ah 2 02h 18h 
75        1 1 0 01h 00h 7Ah 2 02h 18h 
76        1 1 0 01h 00h 7Ah 2 02h 18h 
77        1 1 0 01h 00h 7Ah 2 02h 18h 
78        1 1 0 01h 00h 7Ah 2 02h 18h 
79        1 1 0 01h 00h 7Ah 2 02h 18h 
80        1 1 0 01h 00h 7Ah 2 02h 18h 
81        1 1 0 01h 00h 7Ah 2 02h 18h 
82        1 1 0 01h 00h 7Ah 2 02h 18h 
83        1 1 0 01h 00h 7Ah 2 02h 18h 
84        1 1 0 01h 00h 7Ah 2 02h 18h 
85        1 1 0 01h 00h 7Ah 2 02h 18h 
86        1 1 0 01h 00h 7Ah 2 02h 18h 
87        1 1 0 01h 00h 7Ah 2 02h 18h 
88        1 1 0 01h 00h 7Ah 2 02h 18h 
89        1 1 0 01h 00h 7Ah 2 02h 18h 
90        1 1 0 01h 00h 7Ah 2 02h 18h 
91        1 1 0 01h 00h 7Ah 2 02h 18h 
92        1 1 0 01h 00h 7Ah 2 02h 18h 
93        1 1 0 01h 00h 7Ah 2 02h 18h 
94        1 1 0 01h 00h 7Ah 2 02h 18h 
95        1 1 0 01h 00h 7Ah 2 02h 18h 
96        1 1 0 01h 00h 7Ah 2 02h 18h 
97        1 1 0 01h 00h 7Ah 2 02h 18h 
98        1 1 0 01h 00h 7Ah 2 02h 18h 
99        1 1 0 01h 00h 7Ah 2 02h 18h 
100       1 1 0 01h 00h 7Ah 2 02h 18h 
101       1 1 0 01h 00h 7Ah 2 02h 18h 
102       1 1 0 01h 00h 7Ah 2 02h 18h 
103       1 1 0 01h 00h 7Ah 2 02h 18h 
104       1 1 0 01h 00h 7Ah 2 02h 18h 
105       1 1 0 01h 00h 7Ah 2 02h 18h 
106       1 1 0 01h 00h 7Ah 2 02h 18h 
107       1 1 0 01h 00h 7Ah 2 02h 18h 
108       1 1 0 01h 00h 7Ah 2 02h 18h 
109       1 1 0 01h 00h 7Ah 2 02h 18h 
110       1 1 0 01h 00h 7Ah 2 02h 18h 
111       1 1 0 01h 00h 7Ah 2 02h 18h 
